category,query_id,avg_runtime_ms,avg_runtime_after,speedup,improvement_ms,improvement_pct,improved
single_table_filters,Q061,3.1712,2.2595,1.4034963487497232,0.9116999999999997,28.749369323915232,1
single_table_filters,Q062,11.4071,11.8757,0.960541273356518,-0.46860000000000035,-4.107967844588023,0
single_table_filters,Q063,5.6181,4.4258,1.269397623028605,1.1923000000000004,21.222477349993774,1
single_table_filters,Q064,1.4443,1.4198,1.0172559515424708,0.024499999999999966,1.696323478501694,0
single_table_filters,Q065,2.9304,1.3415,2.184420424897503,1.5889000000000002,54.22126672126672,1
single_table_filters,Q066,9.5518,9.6635,0.9884410410306824,-0.1117000000000008,-1.169413094914056,0
single_table_filters,Q067,7.0071,8.5408,0.8204266579243161,-1.5337000000000005,-21.887799517632125,0
single_table_filters,Q068,6.9351,7.9701,0.8701396469304024,-1.0350000000000001,-14.92408184453,0
single_table_filters,Q069,6.6918,6.9885,0.9575445374543893,-0.2967000000000004,-4.433784631937601,0
single_table_filters,Q070,6.2437,6.8811,0.9073694612779933,-0.6374000000000004,-10.208690359882768,0
single_table_filters,Q071,5.9649,6.1251,0.9738453249742862,-0.16019999999999968,-2.6857114117587835,0
single_table_filters,Q072,3.0266,0.7456,4.059281115879829,2.281,75.36509614749224,1
single_table_filters,Q073,3.3053,1.2922,2.557885776195635,2.0130999999999997,60.90521283998426,1
single_table_filters,Q074,2.6965,3.9419,0.6840609858190213,-1.2454,-46.1857964027443,0
single_table_filters,Q075,1.7083,2.7313,0.6254530809504631,-1.0230000000000001,-59.88409529942049,0
single_table_filters,Q076,1.0609,2.3747,0.4467511685686613,-1.3137999999999999,-123.83825054199265,0
single_table_filters,Q077,8.5213,10.3237,0.8254114319478482,-1.8024000000000004,-21.151702205062612,0
single_table_filters,Q078,34.0821,34.8249,0.9786704340859557,-0.7428000000000026,-2.1794431681146484,0
single_table_filters,Q079,31.2235,32.1682,0.9706324879850288,-0.9446999999999974,-3.0256057136451626,0
single_table_filters,Q080,6.9358,0.2354,29.46389124893798,6.7004,96.60601516768072,1
single_table_filters,Q081,24.7754,26.6003,0.9313955105769484,-1.8248999999999995,-7.365774114645977,0
single_table_filters,Q082,3.8298,0.1808,21.182522123893808,3.649,95.27912684735495,1
single_table_filters,Q083,1.6873,1.332,1.2667417417417417,0.35529999999999995,21.05731049605879,1
single_table_filters,Q084,24.5722,25.8073,0.9521414483498853,-1.2351000000000028,-5.026411961484942,0
single_table_filters,Q085,3.1186,0.2141,14.566090611863613,2.9044999999999996,93.1347399474123,1
single_table_filters,Q086,5.9551,6.9449,0.8574781494333972,-0.9897999999999998,-16.621047505499483,0
single_table_filters,Q087,9.2302,9.4482,0.976926822040177,-0.21799999999999997,-2.3618123117592247,0
single_table_filters,Q088,8.109,8.4806,0.9561823455887554,-0.3716000000000008,-4.582562584782351,0
single_table_filters,Q089,7.1387,7.7781,0.9177948342140111,-0.6394000000000002,-8.956812865087484,0
single_table_filters,Q090,6.1246,6.4848,0.9444547248951394,-0.36019999999999985,-5.8812004049244,0
single_table_filters,Q091,18.1683,19.5232,0.9306005163088018,-1.3549000000000007,-7.4574946472702495,0
single_table_filters,Q092,18.5081,19.2113,0.9633965426597887,-0.7032000000000025,-3.7994175523149463,0
single_table_filters,Q093,13.264,13.8621,0.9568535791835292,-0.5981000000000005,-4.509197828709293,0
single_table_filters,Q094,8.0539,8.181,0.9844640019557513,-0.12709999999999866,-1.5781174337898243,0
single_table_filters,Q095,4.4686,4.7482,0.941114527610463,-0.2795999999999994,-6.256993241731177,0
single_table_filters,Q096,1.5263,1.8479,0.8259646084744845,-0.3216000000000001,-21.070562798925515,0
single_table_filters,Q097,0.5713,0.5718,0.9991255683805528,-0.0004999999999999449,-0.08751969193067476,0
single_table_filters,Q098,0.2783,0.2875,0.9680000000000001,-0.009199999999999986,-3.3057851239669374,0
single_table_filters,Q099,0.6823,0.6101,1.1183412555318801,0.07220000000000004,10.581855488787928,1
single_table_filters,Q100,0.3981,0.6106,0.6519816573861775,-0.21250000000000002,-53.378548103491596,0
single_table_filters,Q101,1.3481,1.8096,0.7449712643678161,-0.4615,-34.23336547733848,0
single_table_filters,Q102,0.525,0.386,1.3601036269430051,0.139,26.476190476190478,1
single_table_filters,Q103,0.3202,0.2877,1.1129648939867918,0.03249999999999997,10.149906308557144,1
single_table_filters,Q104,0.7685,0.794,0.9678841309823677,-0.025500000000000078,-3.318152244632411,0
single_table_filters,Q105,3.3258,1.2206,2.724725544814026,2.1052,63.29905586625774,1
single_table_filters,Q106,0.803,1.1464,0.7004535938590369,-0.34340000000000004,-42.76463262764633,0
single_table_filters,Q107,1.4664,1.2784,1.1470588235294117,0.18799999999999994,12.820512820512818,1
single_table_filters,Q108,0.7073,1.1641,0.6075938493256594,-0.4567999999999999,-64.58362788067296,0
single_table_filters,Q109,0.3093,0.3938,0.7854240731335704,-0.08449999999999996,-27.319754283866782,0
single_table_filters,Q110,0.3213,0.4055,0.792355117139334,-0.08420000000000005,-26.20603797074387,0
single_table_filters,Q111,0.322,0.509,0.6326129666011788,-0.187,-58.07453416149068,0
two_table_joins,Q001,88.6659,92.3169,0.9604514449683643,-3.6510000000000105,-4.117704777146582,0
two_table_joins,Q002,115.8903,121.6215,0.9528767528767529,-5.731200000000001,-4.945366437052972,0
two_table_joins,Q003,134.2547,143.1729,0.9377102789703918,-8.918199999999985,-6.642746957834611,0
two_table_joins,Q004,35.1003,34.4232,1.0196698738060377,0.6770999999999958,1.9290433415098898,0
two_table_joins,Q005,80.8723,68.0037,1.1892338211009108,12.8686,15.912246838534333,1
two_table_joins,Q006,79.9672,79.6928,1.003443221972374,0.2744,0.34314068768194955,0
two_table_joins,Q007,71.6684,72.096,0.9940690190856636,-0.4275999999999982,-0.5966367325069322,0
two_table_joins,Q008,17.5235,19.3975,0.9033896120634101,-1.8740000000000023,-10.694210631437798,0
two_table_joins,Q009,38.2232,37.7894,1.0114794095698794,0.43379999999999797,1.1349128278113763,0
two_table_joins,Q010,72.0634,74.3886,0.9687425223757404,-2.3251999999999953,-3.226603241034971,0
two_table_joins,Q011,150.0369,159.3055,0.9418187068243093,-9.268599999999992,-6.177546990107095,0
two_table_joins,Q012,136.5284,147.2425,0.9272350034806527,-10.714100000000002,-7.847524764078392,0
two_table_joins,Q013,8.0979,8.7402,0.9265119791309123,-0.6423000000000005,-7.931685992664772,0
two_table_joins,Q014,136.3523,45.9862,2.96506995576934,90.36610000000002,66.27398291044597,1
two_table_joins,Q015,40.1555,46.0903,0.8712353792446568,-5.934799999999996,-14.779544520675861,0
two_table_joins,Q016,545.1998,564.8561,0.9652012255864812,-19.656299999999987,-3.605338813403818,0
two_table_joins,Q017,367.6961,370.7721,0.9917037986407283,-3.076000000000022,-0.8365604095338574,0
two_table_joins,Q018,543.0616,560.9975,0.9680285562769888,-17.935899999999947,-3.3027376636462504,0
two_table_joins,Q019,421.0045,414.8381,1.0148645941633616,6.16640000000001,1.4646874320820822,0
two_table_joins,Q020,355.8587,362.4337,0.9818587509936301,-6.574999999999989,-1.8476434607331473,0
two_table_joins,Q021,438.45,449.9973,0.9743391793684095,-11.547300000000007,-2.6336640437906276,0
two_table_joins,Q022,348.5799,364.0929,0.9573927423468022,-15.512999999999977,-4.450342661754156,0
two_table_joins,Q023,344.6513,381.4909,0.9034325589417729,-36.83960000000002,-10.688948511147359,0
two_table_joins,Q024,414.7153,413.9392,1.0018749130307059,0.7760999999999854,0.1871404310378675,0
two_table_joins,Q025,552.7778,540.8788,1.0219993832259648,11.899000000000001,2.1525828280368717,0
two_table_joins,Q026,76.1945,73.2278,1.0405133023250732,2.966700000000003,3.8935881198774225,0
two_table_joins,Q027,56.7571,59.2143,0.9585032669473421,-2.4572000000000003,-4.329326198836798,0
two_table_joins,Q028,40.6986,40.8917,0.9952777703054654,-0.19310000000000116,-0.474463495058801,0
two_table_joins,Q029,45.2498,45.7304,0.9894905795707013,-0.4806000000000026,-1.0621041418967654,0
