category,query_id,query_number,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,error,sql_preview
single_table_filters,Q065,65,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_NAME FROM CUSTOMER WHERE C_ACCTBAL BETWEEN 400 AND 900"
single_table_filters,Q066,66,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_NAME FROM CUSTOMER WHERE C_NAME LIKE 'Customer#000%'"
single_table_filters,Q067,67,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT C_CUSTKEY FROM CUSTOMER WHERE C_ACCTBAL > 100
single_table_filters,Q068,68,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT C_CUSTKEY FROM CUSTOMER WHERE C_ACCTBAL > 300
single_table_filters,Q069,69,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT C_CUSTKEY FROM CUSTOMER WHERE C_ACCTBAL > 700
single_table_filters,Q070,70,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT C_CUSTKEY FROM CUSTOMER WHERE C_ACCTBAL > 1500
single_table_filters,Q071,71,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT C_CUSTKEY FROM CUSTOMER WHERE C_ACCTBAL > 2000
single_table_filters,Q072,72,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_ACCTBAL FROM CUSTOMER WHERE C_ACCTBAL BETWEEN 100 AND 500"
single_table_filters,Q073,73,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT C_CUSTKEY, C_ACCTBAL FROM CUSTOMER WHERE C_ACCTBAL BETWEEN 500 AND 1000"
single_table_filters,Q074,74,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT C_CUSTKEY FROM CUSTOMER WHERE C_NATIONKEY BETWEEN 6 AND 12
single_table_filters,Q075,75,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_SIZE = 10
single_table_filters,Q076,76,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_SIZE = 20
single_table_filters,Q077,77,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_SIZE BETWEEN 5 AND 15
single_table_filters,Q078,78,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_RETAILPRICE > 500
single_table_filters,Q079,79,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_RETAILPRICE > 1000
single_table_filters,Q080,80,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_RETAILPRICE BETWEEN 200 AND 800
single_table_filters,Q081,81,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_SIZE >= 15
single_table_filters,Q082,82,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_NAME FROM PART WHERE P_RETAILPRICE < 300"
single_table_filters,Q083,83,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_SIZE FROM PART WHERE P_SIZE < 5"
single_table_filters,Q084,84,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM PART WHERE P_RETAILPRICE >= 1200
single_table_filters,Q085,85,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_RETAILPRICE FROM PART WHERE P_RETAILPRICE <= 300"
single_table_filters,Q086,86,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_NAME FROM PART WHERE P_NAME LIKE '%green%'"
single_table_filters,Q087,87,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT P_PARTKEY FROM PART WHERE P_SIZE > 5
single_table_filters,Q088,88,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT P_PARTKEY FROM PART WHERE P_SIZE > 10
single_table_filters,Q089,89,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT P_PARTKEY FROM PART WHERE P_SIZE > 15
single_table_filters,Q090,90,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT P_PARTKEY FROM PART WHERE P_SIZE > 20
single_table_filters,Q091,91,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_RETAILPRICE FROM PART WHERE P_RETAILPRICE > 200"
single_table_filters,Q092,92,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_RETAILPRICE FROM PART WHERE P_RETAILPRICE > 600"
single_table_filters,Q093,93,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_RETAILPRICE FROM PART WHERE P_RETAILPRICE > 1200"
single_table_filters,Q094,94,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT P_PARTKEY, P_RETAILPRICE FROM PART WHERE P_RETAILPRICE > 1500"
single_table_filters,Q095,95,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT P_PARTKEY FROM PART WHERE P_SIZE BETWEEN 10 AND 30
single_table_filters,Q096,96,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM SUPPLIER WHERE S_ACCTBAL > 1000
single_table_filters,Q097,97,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM SUPPLIER WHERE S_ACCTBAL BETWEEN 500 AND 1500
single_table_filters,Q098,98,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT S_SUPPKEY, S_NAME FROM SUPPLIER WHERE S_NATIONKEY = 3"
single_table_filters,Q099,99,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM SUPPLIER WHERE S_ACCTBAL < 500
single_table_filters,Q100,100,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT S_SUPPKEY, S_PHONE FROM SUPPLIER WHERE S_NATIONKEY BETWEEN 5 AND 10"
single_table_filters,Q101,101,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM SUPPLIER WHERE S_ACCTBAL >= 2000
single_table_filters,Q102,102,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT * FROM SUPPLIER WHERE S_NATIONKEY = 7
single_table_filters,Q103,103,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT S_SUPPKEY, S_ACCTBAL FROM SUPPLIER WHERE S_ACCTBAL BETWEEN 200 AND 800"
single_table_filters,Q104,104,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT S_SUPPKEY FROM SUPPLIER WHERE S_ACCTBAL > 100
single_table_filters,Q105,105,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT S_SUPPKEY FROM SUPPLIER WHERE S_ACCTBAL > 500
single_table_filters,Q106,106,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT S_SUPPKEY FROM SUPPLIER WHERE S_ACCTBAL > 1000
single_table_filters,Q107,107,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT S_SUPPKEY FROM SUPPLIER WHERE S_ACCTBAL > 1500
single_table_filters,Q108,108,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT S_SUPPKEY FROM SUPPLIER WHERE S_ACCTBAL > 1800
single_table_filters,Q109,109,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT S_SUPPKEY, S_ACCTBAL FROM SUPPLIER WHERE S_ACCTBAL BETWEEN 100 AND 600"
single_table_filters,Q110,110,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT S_SUPPKEY, S_ACCTBAL FROM SUPPLIER WHERE S_ACCTBAL BETWEEN 600 AND 1200"
single_table_filters,Q111,111,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,SELECT S_SUPPKEY FROM SUPPLIER WHERE S_NATIONKEY BETWEEN 1 AND 5
two_table_joins,Q001,112,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY"
two_table_joins,Q002,113,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_ACCTBAL FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  c.C_ACCTBAL > 5"
two_table_joins,Q003,114,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_TOTALPRICE > 2"
two_table_joins,Q004,115,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NATIONKEY FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  c.C_NATIONKEY"
two_table_joins,Q005,116,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_ORDERDATE > '1"
two_table_joins,Q006,117,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  c.C_ACCTBAL > 100"
two_table_joins,Q007,118,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  c.C_ACCTBAL > 1000"
two_table_joins,Q008,119,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_ACCTBAL FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_TOTALPRICE "
two_table_joins,Q009,120,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NATIONKEY FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  c.C_NATIONKEY"
two_table_joins,Q010,121,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_ORDERDATE BETW"
two_table_joins,Q011,122,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_TOTALPRICE > 1"
two_table_joins,Q012,123,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_TOTALPRICE > 3"
two_table_joins,Q013,124,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_TOTALPRICE  BE"
