query_id,category,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,has_full_scan,full_scan_table_count,max_join_type_score,index_coverage_ratio,num_indexes_used,has_no_index,has_filesort,has_temp_table,num_tables,total_rows_examined,max_rows_examined,sql_preview
AGG_Q053,aggregation,11632.5665,11363.6911,12044.8101,3,OK,"SELECT DATE_FORMAT(o_orderdate, '%Y-%m') AS order_month, COUNT(*) AS order_count"
AGG_Q054,aggregation,65102.5752,63944.7899,67066.2627,3,OK,"SELECT l_orderkey, SUM(l_extendedprice * l_tax) AS total_tax FROM lineitem GROUP"
AGG_Q055,aggregation,33902.8917,29531.8022,40050.73,3,OK,"SELECT l_suppkey, AVG(l_quantity) AS avg_quantity FROM lineitem GROUP BY l_suppk"
AGG_Q056,aggregation,880.5757,507.3049,1625.9301,3,OK,"SELECT p_container, COUNT(*) AS part_count FROM part GROUP BY p_container ORDER "
AGG_Q057,aggregation,18868.892,14254.4179,27718.344,3,OK,"SELECT o_orderpriority, SUM(o_totalprice) AS total_revenue FROM orders GROUP BY "
AGG_Q058,aggregation,33157.4491,25644.212,45985.9662,3,OK,"SELECT l_suppkey, COUNT(*) AS lineitem_count FROM lineitem GROUP BY l_suppkey OR"
AGG_Q059,aggregation,35165.055,31357.07,41921.5341,3,OK,"SELECT o_custkey, MIN(o_orderdate) AS first_order_date FROM orders GROUP BY o_cu"
AGG_Q060,aggregation,32081.5562,31553.386,32901.5861,3,OK,"SELECT o_custkey, MAX(o_orderdate) AS last_order_date FROM orders GROUP BY o_cus"
AGG_Q061,aggregation,37355.045,36843.6201,37870.039,3,OK,"SELECT c_nationkey, YEAR(o_orderdate) AS order_year, SUM(o_totalprice) AS total_"
AGG_Q062,aggregation,73065.1504,72099.7062,73662.231,3,OK,"SELECT o_custkey, o_orderpriority, COUNT(*) AS order_count FROM orders GROUP BY "
AGG_Q063,aggregation,43845.0227,34183.301,63029.736,3,OK,"SELECT l_shipmode, l_returnflag, SUM(l_extendedprice * (1 - l_discount)) AS reve"
AGG_Q064,aggregation,42330.296,35665.7553,55049.0329,3,OK,"SELECT ps_suppkey, ps_partkey, AVG(ps_supplycost) AS avg_cost FROM partsupp GROU"
AGG_Q065,aggregation,1307.0761,695.8401,2527.436,3,OK,"SELECT p_brand, p_container, COUNT(*) AS part_count FROM part GROUP BY p_brand, "
AGG_Q067,aggregation,33959.4274,29974.381,41534.121,3,OK,"SELECT c_mktsegment, YEAR(o_orderdate) AS order_year, COUNT(*) AS order_count FR"
AGG_Q068,aggregation,33314.0102,27387.4109,45071.2829,3,OK,"SELECT l_shipmode, l_linestatus, AVG(l_discount) AS avg_discount FROM lineitem G"
AGG_Q069,aggregation,36966.0598,33896.481,42992.0051,3,OK,"SELECT n_name, c_mktsegment, SUM(o_totalprice) AS total_revenue FROM orders JOIN"
AGG_Q071,aggregation,4683.3554,4499.7671,5048.7931,3,OK,"SELECT YEAR(o_orderdate) AS order_year, o_orderpriority, COUNT(*) AS order_count"
AGG_Q072,aggregation,592.9819,575.9678,625.7529,3,OK,"SELECT c_nationkey, c_mktsegment, AVG(c_acctbal) AS avg_balance FROM customer GR"
AGG_Q073,aggregation,32255.4512,32157.9447,32421.4611,3,OK,"SELECT r_name, YEAR(o_orderdate) AS order_year, SUM(o_totalprice) AS total_reven"
AGG_Q074,aggregation,1306.2157,616.3831,2684.5009,3,OK,"SELECT p_mfgr, p_brand, COUNT(*) AS part_count FROM part GROUP BY p_mfgr, p_bran"
AGG_Q075,aggregation,46885.1089,43950.5837,51674.8068,3,OK,"SELECT YEAR(o_orderdate) AS order_year, l_shipmode, AVG(o_totalprice) AS avg_ord"
AGG_Q076,aggregation,47173.3025,38727.1831,63903.3082,3,OK,"SELECT n_name, p_type, SUM(ps_supplycost * ps_availqty) AS total_supply_cost FRO"
AGG_Q077,aggregation,100508.4736,69203.4709,145862.164,3,OK,"SELECT c_mktsegment, l_returnflag, SUM(l_extendedprice * (1 - l_discount)) AS re"
AGG_Q079,aggregation,9563.8833,6034.384,16488.3289,3,OK,"SELECT o_clerk, YEAR(o_orderdate) AS order_year, COUNT(*) AS order_count FROM or"
AGG_Q081,aggregation,26662.2121,20162.322,39604.815,3,OK,"SELECT r_name, p_brand, AVG(ps_supplycost) AS avg_supply_cost FROM partsupp JOIN"
