category,query_id,query_number,avg_runtime_ms,status,error
two_table_joins,Q085,196,250.7285,OK,
two_table_joins,Q086,197,414.0916,OK,
two_table_joins,Q087,198,326.4547,OK,
two_table_joins,Q088,199,244.8602,OK,
two_table_joins,Q089,200,264.6851,OK,
two_table_joins,Q090,201,438.8122,OK,
two_table_joins,Q091,202,329.6241,OK,
two_table_joins,Q092,203,275.8674,OK,
two_table_joins,Q093,204,262.1589,OK,
two_table_joins,Q094,205,248.4595,OK,
two_table_joins,Q095,206,181.0007,OK,
two_table_joins,Q096,207,178.8382,OK,
two_table_joins,Q097,208,230.5558,OK,
two_table_joins,Q098,209,320.2808,OK,
two_table_joins,Q099,210,222.4258,OK,
two_table_joins,Q100,211,172.154,OK,
two_table_joins,Q101,212,69.4616,OK,
two_table_joins,Q102,213,51.928,OK,
two_table_joins,Q103,214,44.6901,OK,
two_table_joins,Q104,215,36.9249,OK,
two_table_joins,Q105,216,66.5588,OK,
two_table_joins,Q106,217,52.3841,OK,
two_table_joins,Q107,218,33.0253,OK,
two_table_joins,Q108,219,30.8143,OK,
two_table_joins,Q109,220,46.1593,OK,
two_table_joins,Q110,221,44.9797,OK,
two_table_joins,Q111,222,44.3264,OK,
two_table_joins,Q112,223,43.5452,OK,
two_table_joins,Q113,224,23.17,OK,
two_table_joins,Q114,225,14.385,OK,
two_table_joins,Q115,226,14.3578,OK,
two_table_joins,Q116,227,64.3492,OK,
two_table_joins,Q117,228,63.901,OK,
two_table_joins,Q118,229,63.873,OK,
two_table_joins,Q119,230,62.9115,OK,
two_table_joins,Q120,231,54.9223,OK,
two_table_joins,Q121,232,53.2912,OK,
two_table_joins,Q122,233,54.9562,OK,
two_table_joins,Q123,234,62.354,OK,
two_table_joins,Q124,235,33.7447,OK,
two_table_joins,Q125,236,22.4135,OK,
two_table_joins,Q126,237,49.1989,OK,
two_table_joins,Q127,238,40.913,OK,
two_table_joins,Q128,239,59.7514,OK,
two_table_joins,Q129,240,59.2669,OK,
two_table_joins,Q130,241,205.1459,OK,
two_table_joins,Q131,242,253.8559,OK,
two_table_joins,Q132,243,30.6105,OK,
two_table_joins,Q133,244,10.7794,OK,
two_table_joins,Q134,245,188.0126,OK,
two_table_joins,Q135,246,405.2076,OK,
two_table_joins,Q136,247,211.6274,OK,
two_table_joins,Q137,248,218.8688,OK,
two_table_joins,Q138,249,224.822,OK,
two_table_joins,Q139,250,139.7978,OK,
two_table_joins,Q140,251,141.2527,OK,
two_table_joins,Q141,252,146.9456,OK,
two_table_joins,Q142,253,288.1156,OK,
two_table_joins,Q143,254,294.7945,OK,
two_table_joins,Q144,255,282.6608,OK,
two_table_joins,Q145,256,334.7912,OK,
two_table_joins,Q146,257,334.0855,OK,
two_table_joins,Q147,258,43.4807,OK,
two_table_joins,Q148,259,34.5581,OK,
two_table_joins,Q149,260,57.2613,OK,
two_table_joins,Q150,261,74.0911,OK,
two_table_joins,Q151,262,69.5999,OK,
two_table_joins,Q152,263,70.5813,OK,
two_table_joins,Q153,264,69.8504,OK,
two_table_joins,Q154,265,109.683,OK,
